School,"City, State",SR key,NCAA key,NCAA School,NCAA Name,background-color
Buffalo,"Buffalo, New York",buffalo,buffalo,Buffalo,University at Buffalo,#0057B8
Butler,"Indianapolis, Indiana",butler,butler,Butler,Butler University,#13294B
Cal Poly,"San Luis Obispo, California",cal-poly,cal-poly,Cal Poly,Cal Poly,#193E30
Cal State Bakersfield,"Bakersfield, California",cal-state-bakersfield,bakersfield,CSU Bakersfield,CSU Bakersfield,#0032A0
Cal State Fullerton,"Fullerton, California",cal-state-fullerton,cal-st-fullerton,Cal St. Fullerton,Cal State-Fullerton,#F47216
Cal State Los Angeles Golden Eagles,"Los Angeles, California",cal-state-los-angeles,cal-st-la,Cal State LA,Cal State-Los Angeles,#010101
Cal State Northridge,"Northridge, California",cal-state-northridge,cal-st-northridge,Cal St. Northridge,Cal State-Northridge,#BB2531
California,"Berkeley, California",california,california,California,University of California,#041E42
California Baptist,"Riverside, California",california-baptist,california-baptist,Cal Baptist,California Baptist University,#171F3B
Campbell,"Buies Creek, North Carolina",campbell,campbell,Campbell,Campbell University,#FF4713
Canisius,"Buffalo, New York",canisius,canisius,Canisius,Canisius College,#0C2340
Canterbury College,"Danville, Indiana",central-normal-college,,,,
Carleton College Knights,"Northfield, Minnesota",carleton-college,carleton,Carleton,Carleton College,#08407c
Carnegie Mellon Tartans,"Pittsburgh, Pennsylvania",carnegie-mellon,carnegie-mellon,Carnegie Mellon,Carnegie Mellon University,#B01C33
Case Western Reserve Spartans,"Cleveland, Ohio",case-western-reserve,case,Case Western Reserve,Case Western Reserve University,#265594
Catholic Cardinals,"Washington, D.C.",catholic,catholic,Catholic,Catholic University,#BF2519
Centenary (LA) Gents,"Shreveport, Louisiana",centenary-la,centenary-la,Centenary (LA),Centenary College of Louisiana,#960A2C
Central Arkansas,"Conway, Arkansas",central-arkansas,central-ark,Central Ark.,University of Central Arkansas,#582C83
Central Connecticut State,"New Britain, Connecticut",central-connecticut-state,central-conn-st,Central Conn. St.,Central Connecticut State University,#003087
Central Florida,"Orlando, Florida",central-florida,ucf,UCF,University of Central Florida,#010101
Central Michigan,"Mount Pleasant, Michigan",central-michigan,central-mich,Central Mich.,Central Michigan University,#6F263D
Central Missouri Mules,"Warrensburg, Missouri",central-missouri,central-mo,Central Mo.,University of Central Missouri,#BA0C2F
Central Pennsylvania College Knights,"Summerdale, Pennsylvania",central-pennsylvania-college,,,,
Centre (KY) Colonels,"Danville, Kentucky",centre-ky,centre,Centre,Centre College,#010101
Charleston Southern,"Charleston, South Carolina",charleston-southern,charleston-so,Charleston So.,Charleston Southern University,#15233C
Charlotte,"Charlotte, North Carolina",charlotte,charlotte,Charlotte,UNC Charlotte,#124D39
Chattanooga,"Chattanooga, Tennessee",chattanooga,chattanooga,Tenn-Chattanooga,University of Tennessee at Chattanooga,#00416D
Cheyenne Business College,"Cheyenne, Wyoming",cheyenne-business-college,,,,
Chicago Maroons,"Chicago, Illinois",chicago,chicago,Chicago,University of Chicago,#640000
Chicago State,"Chicago, Illinois",chicago-state,chicago-st,Chicago St.,Chicago State University,#006747
Cincinnati,"Cincinnati, Ohio",cincinnati,cincinnati,Cincinnati,University of Cincinnati,#C8102E
City College of New York Beavers,"New York, New York",city-college-of-new-york,ccny,CCNY,City College of New York,#55318C
Clemson,"Clemson, South Carolina",clemson,clemson,Clemson,Clemson University,#FF6720
Cleveland State,"Cleveland, Ohio",cleveland-state,cleveland-st,Cleveland St.,Cleveland State University,#115740
Coastal Carolina,"Conway, South Carolina",coastal-carolina,coastal-caro,Coastal Caro.,Coastal Carolina University,#007377
Colgate,"Hamilton, New York",colgate,colgate,Colgate,Colgate University,#772430
College of Charleston,"Charleston, South Carolina",college-of-charleston,col-of-charleston,Col. of Charleston,College of Charleston,#76232F
College of New Jersey Lions,"Ewing, New Jersey",college-of-new-jersey,tcnj,TCNJ,The College of New Jersey,#21456A
Colorado,"Boulder, Colorado",colorado,colorado,Colorado,University of Colorado,#010101
Colorado College Tigers,"Colorado Springs, Colorado",colorado-college,colorado-col,Colorado Col.,Colorado College,#010101
Colorado School of Mines Orediggers,"Golden, Colorado",colorado-school-of-mines,colorado-mines,Colorado School of Mines,Colorado School of Mines,#1F2A44
Colorado State,"Fort Collins, Colorado",colorado-state,colorado-st,Colorado St.,Colorado State University,#2C5234
Columbia,"New York, New York",columbia,columbia,Columbia,Columbia University-Barnard College,#97CAEB
Concordia Seminary Preachers,"St. Louis, Missouri",concordia-seminary,,,,
Connecticut,"Storrs, Connecticut",connecticut,uconn,Connecticut,University of Connecticut,#0C2340
Coppin State,"Baltimore, Maryland",coppin-state,coppin-st,Coppin St.,Coppin State University,#0c3354
Cornell,"Ithaca, New York",cornell,cornell,Cornell,Cornell University,#B32025
Cotner College,"Lincoln, Nebraska",cotner-university,,,,
Creighton,"Omaha, Nebraska",creighton,creighton,Creighton,Creighton University,#0032A0
Cumberland,"Lebanon, Tennessee",cumberland,,,,
Dakota Wesleyan Tigers,"Mitchell, South Dakota",dakota-wesleyan,,,,
Dartmouth,"Hanover, New Hampshire",dartmouth,dartmouth,Dartmouth,Dartmouth College,#046A38
Davidson,"Davidson, North Carolina",davidson,davidson,Davidson,Davidson College,#C8102E
Dayton,"Dayton, Ohio",dayton,dayton,Dayton,University of Dayton,#D50032
Delaware,"Newark, Delaware",delaware,delaware,Delaware,University of Delaware,#006095
Delaware State,"Dover, Delaware",delaware-state,delaware-st,Delaware St.,Delaware State University,#DA291C
Denison Big Red,"Granville, Ohio",denison,denison,Denison,Denison University,#E51636
Denver,"Denver, Colorado",denver,denver,Denver,University of Denver,#862633
DePaul,"Chicago, Illinois",depaul,depaul,DePaul,DePaul University,#003DA5
DePauw Tigers,"Greencastle, Indiana",depauw,depauw,DePauw,DePauw University,#010101
Detroit Mercy,"Detroit, Michigan",detroit-mercy,detroit,Detroit,University of Detroit Mercy,#A6192E
